State,HF,HFhat,logdeaths
District of Columbia,0,1.852431,2.746634199
North Dakota,0,1.852431,0.77815125
Vermont,0,1.852431,1.763427994
Wyoming,0,1.852431,1.146128036
Delaware,0.043356588,1.852431,2.635483747
Rhode Island,0.130199411,1.852431,2.699837726
New York City,0.218341621,1.852431,4.410456665
Hawaii,0.273106224,1.852431,1
Maine,0.535821023,2.112253,0.477121255
Nevada,0.710256007,2.112253,1.51851394
New Mexico,0.926391918,2.112253,2.294466226
New Hampshire,1.018036959,2.112253,2.167317335
Puerto Rico,1.151410478,2.112253,1.748188027
Washington,1.393077352,2.112253,2.324282455
Arizona,1.593199561,2.372075,3.065206128
Idaho,1.627057098,2.372075,1
Iowa,2.008654596,2.372075,2.240549248
West Virginia,2.11124111,2.372075,1.113943352
Maryland,2.272351898,2.372075,3.5402043
Oklahoma,2.491353258,2.372075,1.414973348
Florida,2.55520964,2.631897,3.14332713
Nebraska,2.619555822,2.631897,1.462397998
Tennessee,2.675503807,2.631897,1.954242509
Colorado,3.179555754,2.631897,3.144262774
New York,3.347751303,2.631897,4.07623982
California,3.449988039,2.631897,3.57205799
Minnesota,3.453877754,2.631897,2.835690571
Texas,3.660414802,2.891719,3.333245699
Arkansas,3.668646832,2.891719,1.662757832
South Carolina,3.696950057,2.891719,2.7084209
Indiana,3.845772702,2.891719,3.255272505
Wisconsin,3.892389003,2.891719,2.307496038
Ohio,3.896428662,2.891719,3.173477643
North Carolina,4.034779785,2.891719,2.57634135
New Jersey,4.055913192,2.891719,4.208333844
Kentucky,4.375484195,2.891719,1.73239376
Connecticut,4.425564616,2.891719,3.561697533
Virginia,4.46146636,2.891719,3.172602931
Pennsylvania,4.532168217,3.151541,3.994625054
Massachusetts,4.532214638,3.151541,3.845532117
Michigan,4.654564112,3.151541,3.834547858
Illinois,4.900795223,3.151541,3.850891184
Missouri,4.904849725,3.151541,2.62838893
Georgia,5.273170202,3.151541,3.248463718
Mississippi,5.999852885,3.411363,3.025715384
Alabama,6.145787952,3.411363,2.721810615
Louisiana,6.242940458,3.411363,3.430397591
