State ,Sepsis,logdeaths,Sepsishat
Delaware,1.865067,2.635483747,1.926369
District of Columbia,1.865067,2.746634199,1.926369
Hawaii,1.865067,1,1.926369
New York City,1.865067,4.410456665,1.926369
North Dakota,1.865067,0.77815125,1.926369
Rhode Island,1.865067,2.699837726,1.926369
Vermont,1.865067,1.763427994,1.926369
Wyoming,1.865067,1.146128036,1.926369
Maine,2.131341,0.477121255,1.926369
Nevada,2.131341,1.51851394,1.926369
New Hampshire,2.131341,2.167317335,1.926369
New Mexico,2.131341,2.294466226,1.926369
Puerto Rico,2.131341,1.748188027,3.508229
Washington,2.131341,2.324282455,2.453656
Arizona,2.397614,3.065206128,1.926369
Idaho,2.397614,1,1.926369
Iowa,2.397614,2.240549248,1.926369
Maryland,2.397614,3.5402043,2.980943
Oklahoma,2.397614,1.414973348,1.926369
West Virginia,2.397614,1.113943352,1.926369
California,2.663888,3.57205799,2.453656
Colorado,2.663888,3.144262774,2.453656
Florida,2.663888,3.14332713,2.980943
Minnesota,2.663888,2.835690571,1.926369
Nebraska,2.663888,1.462397998,1.926369
New York,2.663888,4.07623982,2.980943
Tennessee,2.663888,1.954242509,2.980943
Arkansas,2.930162,1.662757832,2.453656
Connecticut,2.930162,3.561697533,2.980943
Indiana,2.930162,3.255272505,2.980943
Kentucky,2.930162,1.73239376,2.980943
New Jersey,2.930162,4.208333844,3.508229
North Carolina,2.930162,2.57634135,2.980943
Ohio,2.930162,3.173477643,2.980943
South Carolina,2.930162,2.7084209,2.980943
Texas,2.930162,3.333245699,3.508229
Virginia,2.930162,3.172602931,2.980943
Wisconsin,2.930162,2.307496038,2.453656
Georgia,3.196435,3.248463718,3.508229
Illinois,3.196435,3.850891184,2.980943
Massachusetts,3.196435,3.845532117,2.980943
Michigan,3.196435,3.834547858,2.980943
Missouri,3.196435,2.62838893,2.980943
Pennsylvania,3.196435,3.994625054,2.980943
Alabama,3.462709,2.721810615,2.980943
Louisiana,3.462709,3.430397591,3.508229
Mississippi,3.462709,3.025715384,2.453656
,,,
,,,
